titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Avengers: Age of Ultron,2015,Joss Whedon,141,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,250000000,458991599,7.5,118000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Jurassic World,2015,Colin Trevorrow,124,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,150000000,652177271,7,150000,Bryce Dallas Howard,Judy Greer,Omar Sy
Furious 7,2015,James Wan,140,Color,Action|Crime|Thriller,USA,A partir de 13 anos,190000000,350034110,7.2,94000,Jason Statham,Paul Walker,Vin Diesel
The Good Dinosaur,2015,Peter Sohn,93,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,NA,123070338,6.8,20000,A.J. Buckley,Jack McGraw,Peter Sohn
Jupiter Ascending,2015,Lana Wachowski,127,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,176000000,47375327,5.4,44000,Channing Tatum,Mila Kunis,Eddie Redmayne
Inside Out,2015,Pete Docter,95,Color,Adventure|Animation|Comedy|Drama|Family|Fantasy,USA,Livre,175000000,356454367,8.3,118000,Amy Poehler,Mindy Kaling,Phyllis Smith
Tomorrowland,2015,Brad Bird,130,Color,Action|Adventure|Family|Mystery|Sci-Fi,USA,Livre,190000000,93417865,6.5,37000,Judy Greer,Chris Bauer,Thomas Robinson
The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,137,Color,Adventure|Sci-Fi,USA,A partir de 13 anos,160000000,281666058,6.6,38000,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
Terminator Genisys,2015,Alan Taylor,126,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,155000000,89732035,6.6,82000,J.K. Simmons,Emilia Clarke,Matt Smith
Pan,2015,Joe Wright,111,Color,Adventure|Family|Fantasy,USA,Livre,150000000,34964818,5.8,24000,Hugh Jackman,Cara Delevingne,Nonso Anozie
The Revenant,2015,Alejandro G. Iñárritu,156,Color,Adventure|Drama|Thriller|Western,USA,A partir de 18 anos,135000000,183635922,8.1,190000,Leonardo DiCaprio,Tom Hardy,Lukas Haas
Ant-Man,2015,Peyton Reed,117,Color,Action|Adventure|Comedy|Sci-Fi,USA,A partir de 13 anos,130000000,180191634,7.4,61000,Judy Greer,Hayley Atwell,T.I.
Home,2015,Tim Johnson,94,Color,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,USA,Livre,135000000,177343675,6.7,26000,Jim Parsons,Matt Jones,April Winchell
Fantastic Four,2015,Josh Trank,100,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,120000000,56114221,4.3,41000,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
San Andreas,2015,Brad Peyton,114,Color,Action|Adventure|Drama|Thriller,USA,A partir de 13 anos,110000000,155181732,6.1,52000,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi
Insurgent,2015,Robert Schwentke,119,Color,Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,110000000,129995817,6.3,27000,Kate Winslet,Theo James,Mekhi Phifer
The Martian,2015,Ridley Scott,151,Color,Adventure|Drama|Sci-Fi,USA,A partir de 13 anos,108000000,228430993,8.1,153000,Matt Damon,Donald Glover,Benedict Wong
Pan,2015,Joe Wright,111,Color,Adventure|Family|Fantasy,USA,Livre,150000000,34964818,5.8,24000,Hugh Jackman,Cara Delevingne,Nonso Anozie
Point Break,2015,Ericson Core,114,Color,Action|Crime|Sport|Thriller,USA,A partir de 13 anos,105000000,28772222,5.3,37000,Ray Winstone,Edgar Ramírez,Delroy Lindo
In the Heart of the Sea,2015,Ron Howard,122,Color,Action|Adventure|Biography|Drama|History|Thriller,USA,A partir de 13 anos,100000000,24985612,7,27000,Chris Hemsworth,Benjamin Walker,Frank Dillane
The Peanuts Movie,2015,Steve Martino,88,Color,Adventure|Animation|Comedy|Family,USA,Outros,99000000,130174897,7.2,33000,Francesca Capaldi,Venus Schultheis,Bill Melendez
Cinderella,2015,Kenneth Branagh,105,Color,Drama|Family|Fantasy|Romance,USA,Livre,95000000,201148159,7,56000,Hayley Atwell,Derek Jacobi,Lily James
Alvin and the Chipmunks: The Road Chip,2015,Walt Becker,92,Color,Adventure|Animation|Comedy|Family|Fantasy|Music,USA,Livre,90000000,85884815,5,0,Bella Thorne,Joshua Mikel,Jesse McCartney
Pixels,2015,Chris Columbus,106,Color,Action|Animation|Comedy|Sci-Fi,USA,A partir de 13 anos,88000000,78747585,5.6,39000,Peter Dinklage,Adam Sandler,Josh Gad
Fantastic Four,2015,Josh Trank,100,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,120000000,56114221,4.3,41000,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
Hotel Transylvania 2,2015,Genndy Tartakovsky,89,Color,Animation|Comedy|Family|Fantasy,USA,Livre,80000000,169692572,6.7,16000,Steve Buscemi,Adam Sandler,Fran Drescher
